Emotion,Word,Num
disgust,随便,1
disgust,蠢货,1
disgust,混蛋,7
good,亲爱,1
disgust,贱人,3
disgust,绕圈子,1
good,申请,1
surprise,奇怪,1
good,大方,1
good,人才,1
good,宝贝,5
good,信托,2
good,了不起,1
good,回报,1
good,漂亮,2
disgust,盘根错节,1
good,安静,1
disgust,冷落,1
fear,重点,2
fear,紧急,2
surprise,低估,1
fear,绑架,3
good,希望,5
disgust,失败,2
disgust,牟取,1
disgust,憋屈,1
good,乖乖,2
disgust,窃取,2
disgust,收买,1
disgust,损失,1
sad,无依无靠,1
sad,抱歉,9
sad,失误,1
disgust,逃跑,2
disgust,残暴,1
disgust,谋杀,1
disgust,谢绝,1
disgust,繁重,1
good,英雄,1
good,拜托,2
good,顶级,1
disgust,串通,1
good,自尊,3
good,确实,3
disgust,强奸,1
sad,伤害,2
good,理解,4
disgust,麻烦,7
disgust,虚构,1
disgust,轻易,3
happy,幸福,1
good,人物,1
disgust,违背,1
fear,畏惧,1
sad,衰退,1
disgust,毫无意义,1
sad,回想,1
good,喜欢,9
good,负责,1
fear,可怕,1
fear,病痛,2
good,效劳,1
good,专注,1
good,优秀,1
good,任命,1
good,朋友,6
disgust,坏人,1
good,谢天谢地,1
disgust,伪造,1
sad,难过,1
disgust,蓄意,1
disgust,威胁,8
happy,游戏,3
disgust,大胆,1
disgust,牵扯,3
good,有趣,3
disgust,变态,1
disgust,犯罪,1
good,健康,5
good,自信,1
happy,自然,1
disgust,好人,3
disgust,好人,3,good,好人,3
disgust,软弱,1
good,专心致志,1
good,擅长,2
disgust,野心,1
happy,恭喜,1
good,公正,1
fear,困难,1
disgust,胡扯,1
disgust,损害,1
good,可观,1
disgust,差劲,2
disgust,不良,1
sad,一败涂地,1
good,尊敬,1
happy,幸运,2
disgust,无情,1
good,准时,1
good,高明,1
disgust,愚蠢,2
sad,对不起,1
good,舒适,2
good,冷静,5
disgust,手段,2
disgust,该死,8
good,问好,1
disgust,抛弃,1
fear,害怕,4
good,倾向,1
good,老实,1
good,不错,4
happy,舒服,7
happy,成功,5
good,客气,1
disgust,抢劫,1
good,信用,1
disgust,开心,2
disgust,开心,2,happy,开心,2
disgust,骗人,2
disgust,对付,1
good,坚守,1
disgust,黑市,1
good,牺牲,1
sad,痛苦,1
disgust,王八,1
good,干脆,1
good,干脆,1,happy,干脆,1
good,自觉,1
fear,恐怖,1
good,挽救,1
disgust,糟糕,1
good,保障,2
good,光明正大,1
disgust,棘手,1
good,成就,1
good,甜头,1
disgust,婊子,3
good,保重,1
sad,不行,5
sad,孤独,1
disgust,误会,3
disgust,胆小,1
good,祝福,1
happy,赚钱,1
good,温顺,1
disgust,记恨,1
disgust,驳回,1
happy,清偿,1
disgust,打扰,1
disgust,欺瞒,1
happy,精神,1
fear,噩梦,1
disgust,解决,3
disgust,解决,3,happy,解决,3
disgust,介意,1
good,诚挚,1
good,长寿,1
sad,惦记,1
fear,吓人,1
fear,不好意思,2
happy,享受,1
disgust,失禁,1
disgust,暴力,1
good,蒸蒸日上,1
disgust,囚犯,1
good,精心,1
good,完美,1
happy,荣幸,2
good,道德,1
disgust,忍受,1
happy,摆脱,1
disgust,虚伪,1
disgust,私利,1
happy,安定,1
fear,担惊受怕,1
disgust,权势,1
disgust,夸大,1
disgust,担心,5
disgust,浪费,1
sad,消息,2
disgust,糊涂,2
disgust,笑话,1
disgust,剥削,2
good,指导,1
disgust,诈骗,1
good,值得,1
disgust,白痴,1
disgust,欺骗,1
disgust,无耻,2
surprise,惊人,1
good,大型,1
good,聘请,1
good,到家,1
disgust,生气,1
good,信任,2
fear,病例,1
fear,小心,3
disgust,积怨,1
disgust,受苦,2
good,贵宾,1
good,勇气,1
happy,批准,1
sad,悲痛,1
disgust,畏首畏尾,1
good,正义,2
disgust,随便,1
disgust,蠢货,1
disgust,混蛋,7
good,亲爱,1
disgust,贱人,3
disgust,绕圈子,1
good,申请,1
surprise,奇怪,1
good,大方,1
good,人才,1
good,宝贝,5
good,信托,2
good,了不起,1
good,回报,1
good,漂亮,2
disgust,盘根错节,1
good,安静,1
disgust,冷落,1
fear,重点,2
fear,紧急,2
surprise,低估,1
fear,绑架,3
good,希望,5
disgust,失败,2
disgust,牟取,1
disgust,憋屈,1
good,乖乖,2
disgust,窃取,2
disgust,收买,1
disgust,损失,1
sad,无依无靠,1
sad,抱歉,9
sad,失误,1
disgust,逃跑,2
disgust,残暴,1
disgust,谋杀,1
disgust,谢绝,1
disgust,繁重,1
good,英雄,1
good,拜托,2
good,顶级,1
disgust,串通,1
good,自尊,3
good,确实,3
disgust,强奸,1
sad,伤害,2
good,理解,4
disgust,麻烦,7
disgust,虚构,1
disgust,轻易,3
happy,幸福,1
good,人物,1
disgust,违背,1
fear,畏惧,1
sad,衰退,1
disgust,毫无意义,1
sad,回想,1
good,喜欢,9
good,负责,1
fear,可怕,1
fear,病痛,2
good,效劳,1
good,专注,1
good,优秀,1
good,任命,1
good,朋友,6
disgust,坏人,1
good,谢天谢地,1
disgust,伪造,1
sad,难过,1
disgust,蓄意,1
disgust,威胁,8
happy,游戏,3
disgust,大胆,1
disgust,牵扯,3
good,有趣,3
disgust,变态,1
disgust,犯罪,1
good,健康,5
good,自信,1
happy,自然,1
disgust,好人,3
disgust,好人,3,good,好人,3
disgust,软弱,1
good,专心致志,1
good,擅长,2
disgust,野心,1
happy,恭喜,1
good,公正,1
fear,困难,1
disgust,胡扯,1
disgust,损害,1
good,可观,1
disgust,差劲,2
disgust,不良,1
sad,一败涂地,1
good,尊敬,1
happy,幸运,2
disgust,无情,1
good,准时,1
good,高明,1
disgust,愚蠢,2
sad,对不起,1
good,舒适,2
good,冷静,5
disgust,手段,2
disgust,该死,8
good,问好,1
disgust,抛弃,1
fear,害怕,4
good,倾向,1
good,老实,1
good,不错,4
happy,舒服,7
happy,成功,5
good,客气,1
disgust,抢劫,1
good,信用,1
disgust,开心,2
disgust,开心,2,happy,开心,2
disgust,骗人,2
disgust,对付,1
good,坚守,1
disgust,黑市,1
good,牺牲,1
sad,痛苦,1
disgust,王八,1
good,干脆,1
good,干脆,1,happy,干脆,1
good,自觉,1
fear,恐怖,1
good,挽救,1
disgust,糟糕,1
good,保障,2
good,光明正大,1
disgust,棘手,1
good,成就,1
good,甜头,1
disgust,婊子,3
good,保重,1
sad,不行,5
sad,孤独,1
disgust,误会,3
disgust,胆小,1
good,祝福,1
happy,赚钱,1
good,温顺,1
disgust,记恨,1
disgust,驳回,1
happy,清偿,1
disgust,打扰,1
disgust,欺瞒,1
happy,精神,1
fear,噩梦,1
disgust,解决,3
disgust,解决,3,happy,解决,3
disgust,介意,1
good,诚挚,1
good,长寿,1
sad,惦记,1
fear,吓人,1
fear,不好意思,2
happy,享受,1
disgust,失禁,1
disgust,暴力,1
good,蒸蒸日上,1
disgust,囚犯,1
good,精心,1
good,完美,1
happy,荣幸,2
good,道德,1
disgust,忍受,1
happy,摆脱,1
disgust,虚伪,1
disgust,私利,1
happy,安定,1
fear,担惊受怕,1
disgust,权势,1
disgust,夸大,1
disgust,担心,5
disgust,浪费,1
sad,消息,2
disgust,糊涂,2
disgust,笑话,1
disgust,剥削,2
good,指导,1
disgust,诈骗,1
good,值得,1
disgust,白痴,1
disgust,欺骗,1
disgust,无耻,2
surprise,惊人,1
good,大型,1
good,聘请,1
good,到家,1
disgust,生气,1
good,信任,2
fear,病例,1
fear,小心,3
disgust,积怨,1
disgust,受苦,2
good,贵宾,1
good,勇气,1
happy,批准,1
sad,悲痛,1
disgust,畏首畏尾,1
good,正义,2
